business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,url
OPERATIONAL,"{'location': {'lat': 44.2243083, 'lng': -76.4926433}, 'viewport': {'northeast': {'lat': 44.22543837989272, 'lng': -76.49170054999999}, 'southwest': {'lat': 44.22273872010728, 'lng': -76.49547154999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Kingston General Hospital,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113664309233820834071"">A Google User</a>'], 'photo_reference': 'Aap_uEBNquZxbcPYx7_fZZ8n6yraNQf9d7mlUiye64F60SGMTlyFpz8MthUIBhlnFt_vh6bgjywuzuEGSy9l6uapTK-REgLz0JupI0A1m6Rj-ez4o109y8unYzPy6poG7p3P49XILHgaXSDH468eYCT4cLiTHDWGSxbB4M7gSUD4PmMS4Jcm', 'width': 4032}]",ChIJ01AU1AKr0kwR_W_3VRvn7es,"{'compound_code': '6GF4+PW Kingston, Ontario', 'global_code': '87P56GF4+PW'}",3.0,ChIJ01AU1AKr0kwR_W_3VRvn7es,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",220,"76 Stuart St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ01AU1AKr0kwR_W_3VRvn7es
OPERATIONAL,"{'location': {'lat': 44.2309729, 'lng': -76.4862192}, 'viewport': {'northeast': {'lat': 44.23209397989272, 'lng': -76.48490402010727}, 'southwest': {'lat': 44.22939432010728, 'lng': -76.48760367989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hôtel Dieu Hospital,{'open_now': False},"[{'height': 1928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114790980581435152482"">Hotel Dieu Hospital</a>'], 'photo_reference': 'Aap_uEAe0K8Gzy81WKCJTodygGDIqGx4zMtSGiAepVsc7CO79LqLsB1TvJhQABLAwV04ZppJawfvwBDWA7jHVWq6kyGrjoA7b4v7ZqtzCuuCRtZzkogd_U1nYRbgp_qOE5t8KbD76AFoVp8P4hGVVAM0tb64nb-Z6yh9-b__iEeKVZERKaTY', 'width': 3260}]",ChIJ_Xb9kRMPzUwR0nGgp3WeyUA,"{'compound_code': '6GJ7+9G Kingston, Ontario', 'global_code': '87P56GJ7+9G'}",3.8,ChIJ_Xb9kRMPzUwR0nGgp3WeyUA,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",180,"166 Brock St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ_Xb9kRMPzUwR0nGgp3WeyUA
OPERATIONAL,"{'location': {'lat': 44.22364580000001, 'lng': -76.5062078}, 'viewport': {'northeast': {'lat': 44.22503547989272, 'lng': -76.50484502010728}, 'southwest': {'lat': 44.22233582010728, 'lng': -76.50754467989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,St. Mary's Of the lake Hospital,,"[{'height': 3380, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106449883583613697863"">Dean Magee</a>'], 'photo_reference': 'Aap_uEAgbBCQPb1Ty79mApYpDa7XBwit9RO6dep1RH4n-mQJzCWnS9mEyP_FoAXTGYxqt8g_qWF5YXIAkKUvH1fY2tfl7I959iRTrItzFDCxK4l9w5vo8450stXNg3vdHvewADkol-TEh0OZIAd7ZOOmWrsGtUofXCsOjSSsW5_leSe8lF69', 'width': 2574}]",ChIJ0S0TCBGr0kwRFpEveVw0Kwg,"{'compound_code': '6FFV+FG Kingston, Ontario', 'global_code': '87P56FFV+FG'}",3.7,ChIJ0S0TCBGr0kwRFpEveVw0Kwg,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",9,"340 Union St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ0S0TCBGr0kwRFpEveVw0Kwg
OPERATIONAL,"{'location': {'lat': 44.217254, 'lng': -76.52742889999999}, 'viewport': {'northeast': {'lat': 44.21865497989272, 'lng': -76.52617857010728}, 'southwest': {'lat': 44.21595532010728, 'lng': -76.52887822989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Providence Care Hospital - Providence Care,{'open_now': True},"[{'height': 522, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109410562788055822298"">Providence Care</a>'], 'photo_reference': 'Aap_uEBAKZ7S44E4oIA_S4u-AErhcCNtRxq2-vCL4B1ge5d7pDfY1QUHSYTKSgr9hQB_GNLfxl5oSFJercszaiotLcQjySghU4_mOKe1eR2cUz2BVcWaVwSAjNmeJWagtZ7P-ToiVn_kOjXxJes8fQ-cSV25-aWLngen7Ox2AAVaSeKcNCdl', 'width': 780}]",ChIJRf7xhWmr0kwRyApK3y0NsjE,"{'compound_code': '6F8F+W2 Kingston, Ontario', 'global_code': '87P56F8F+W2'}",3.7,ChIJRf7xhWmr0kwRyApK3y0NsjE,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",25,"752 King St W, Kingston",https://www.google.com/maps/?q=place_id:ChIJRf7xhWmr0kwRyApK3y0NsjE
OPERATIONAL,"{'location': {'lat': 44.2450712, 'lng': -76.57521}, 'viewport': {'northeast': {'lat': 44.24628782989272, 'lng': -76.57386762010726}, 'southwest': {'lat': 44.24358817010728, 'lng': -76.57656727989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hospital Alliance Group,{'open_now': False},,ChIJH2WrdFWs0kwR7utLGHZPIvw,"{'compound_code': '6CWF+2W Kingston, Ontario', 'global_code': '87P56CWF+2W'}",3.0,ChIJH2WrdFWs0kwR7utLGHZPIvw,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",4,"764 Baker Crescent, Kingston",https://www.google.com/maps/?q=place_id:ChIJH2WrdFWs0kwR7utLGHZPIvw
OPERATIONAL,"{'location': {'lat': 44.2312519, 'lng': -76.488316}, 'viewport': {'northeast': {'lat': 44.23272867989272, 'lng': -76.48693112010727}, 'southwest': {'lat': 44.23002902010728, 'lng': -76.48963077989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Hotel Dieu Hospital,,,ChIJ1638SwCr0kwRKFQwJDOA_dg,"{'compound_code': '6GJ6+GM Kingston, Ontario', 'global_code': '87P56GJ6+GM'}",0.0,ChIJ1638SwCr0kwRKFQwJDOA_dg,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",0,"240 Brock St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ1638SwCr0kwRKFQwJDOA_dg
OPERATIONAL,"{'location': {'lat': 44.23969, 'lng': -76.5128065}, 'viewport': {'northeast': {'lat': 44.24104507989272, 'lng': -76.51136852010727}, 'southwest': {'lat': 44.23834542010728, 'lng': -76.5140681798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Nadeem Memorial Nursing Home,,,ChIJuSWhMGOr0kwRYGZ5KfPSL9U,"{'compound_code': '6FQP+VV Kingston, Ontario', 'global_code': '87P56FQP+VV'}",0.0,ChIJuSWhMGOr0kwRYGZ5KfPSL9U,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",0,"Bharat Rd, Avenue Rd, Kingston",https://www.google.com/maps/?q=place_id:ChIJuSWhMGOr0kwRYGZ5KfPSL9U
OPERATIONAL,"{'location': {'lat': 44.0155527, 'lng': -77.13715979999999}, 'viewport': {'northeast': {'lat': 44.01706077989272, 'lng': -77.13550907010728}, 'southwest': {'lat': 44.01436112010728, 'lng': -77.13820872989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Quinte Health Care - Prince Edward County Memorial Hospital,{'open_now': True},,ChIJ3TDr5rHL14kRRszwVRTt_FE,"{'compound_code': '2V87+64 Picton, Prince Edward, ON', 'global_code': '87P42V87+64'}",3.2,ChIJ3TDr5rHL14kRRszwVRTt_FE,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",18,"403 Picton Main St, Prince Edward",https://www.google.com/maps/?q=place_id:ChIJ3TDr5rHL14kRRszwVRTt_FE
OPERATIONAL,"{'location': {'lat': 44.2398475, 'lng': -76.9669179}, 'viewport': {'northeast': {'lat': 44.24135692989272, 'lng': -76.96541682010728}, 'southwest': {'lat': 44.23865727010728, 'lng': -76.96811647989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Lennox & Addington County General Hospital,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102878292688936015752"">Michael Marlin</a>'], 'photo_reference': 'Aap_uEC8TUWVOzQR7heatGK_tnu4KPn22I_zYcg37p6gQDCYDILhyZB4F-dvEAavDC9fJRCfEuqGdd245r9U0brHLKjeNJsKMp-sJ4eRJhHiP54yQd5QTmmbOWnV9BJ0kIQi-9uxfKel-QmWbBcC4WicnwD2VLVkp2IMnA9Ig_X0ORQCN4Gu', 'width': 1080}]",ChIJc1bGXWLY14kR98K_L1X3yiI,"{'compound_code': '62QM+W6 Napanee, Ontario', 'global_code': '87P562QM+W6'}",2.9,ChIJc1bGXWLY14kR98K_L1X3yiI,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",79,"8 Richmond Park Dr, Napanee",https://www.google.com/maps/?q=place_id:ChIJc1bGXWLY14kR98K_L1X3yiI
OPERATIONAL,"{'location': {'lat': 44.23021199999999, 'lng': -76.48660699999999}, 'viewport': {'northeast': {'lat': 44.23162282989272, 'lng': -76.48524097010727}, 'southwest': {'lat': 44.22892317010728, 'lng': -76.48794062989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Native Patient's Services,,,ChIJs2uqKP6q0kwR0QUFGJu2T4c,"{'compound_code': '6GJ7+39 Kingston, Ontario', 'global_code': '87P56GJ7+39'}",3.7,ChIJs2uqKP6q0kwR0QUFGJu2T4c,GOOGLE,"['hospital', 'health', 'point_of_interest', 'establishment']",3,"176 Johnson St, Kingston",https://www.google.com/maps/?q=place_id:ChIJs2uqKP6q0kwR0QUFGJu2T4c
