business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,url
OPERATIONAL,"{'location': {'lat': 44.2253706, 'lng': -76.4985128}, 'viewport': {'northeast': {'lat': 44.22682362989272, 'lng': -76.49704487010729}, 'southwest': {'lat': 44.22412397010728, 'lng': -76.49974452989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Residence Society of Queen's University - ResSoc,{'open_now': False},"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108995348272432657441"">A Google User</a>'], 'photo_reference': 'Aap_uEB308Ss_BGIlkOI12RVj1Iz-CTQL9Otel8a40SEBWrlescep3dlzgKBDjci6sAp7LyE2Hi1icufA0WUFXVWOaChNh6SCanshTfTZBZYu3kiHenRK3MxFF4xMf6HvteNCbthnDLbB8f4TuLsp_HJ5uERG1H9Vg4X0-dPVZfCYEhqaLiv', 'width': 3648}]",ChIJw1lO5yKr0kwRoQjAMZ9mFMA,"{'compound_code': '6GG2+4H Kingston, Ontario', 'global_code': '87P56GG2+4H'}",5.0,ChIJw1lO5yKr0kwRoQjAMZ9mFMA,GOOGLE,"['point_of_interest', 'establishment']",1,"75 Bader Ln, Kingston",https://www.google.com/maps/?q=place_id:ChIJw1lO5yKr0kwRoQjAMZ9mFMA
OPERATIONAL,"{'location': {'lat': 44.2213259, 'lng': -76.5286763}, 'viewport': {'northeast': {'lat': 44.22267887989273, 'lng': -76.52743402010726}, 'southwest': {'lat': 44.21997922010728, 'lng': -76.53013367989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Residence - St. Lawrence College Kingston,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102415580333108645786"">Miguel Carrillo</a>'], 'photo_reference': 'Aap_uEAZ1NpBzeeyqucxcCAsmIEIRkSfqUJOfJ0Pa0CkJlTyv99bL0izZhUKakWHA49FEKt1wV7g2QJIA7Vf9U090RCqmjkz_E5dy5KZwwW9sCYIw59osOJ-DIgBwZYtQ2IHFW7s12IhKDMw7F4vsKJS5LgxjMfbUD2wC4ikbRX1k62ZLK_y', 'width': 3264}]",ChIJH2-yvGer0kwRX0SU0tlMHY4,"{'compound_code': '6FCC+GG Kingston, Ontario', 'global_code': '87P56FCC+GG'}",3.8,ChIJH2-yvGer0kwRX0SU0tlMHY4,GOOGLE,"['university', 'point_of_interest', 'establishment']",24,"23 Country Club Dr, Kingston",https://www.google.com/maps/?q=place_id:ChIJH2-yvGer0kwRX0SU0tlMHY4
OPERATIONAL,"{'location': {'lat': 44.22660459999999, 'lng': -76.48160490000001}, 'viewport': {'northeast': {'lat': 44.22793067989272, 'lng': -76.48009377010727}, 'southwest': {'lat': 44.22523102010728, 'lng': -76.48279342989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Residence Inn by Marriott Kingston Water's Edge,,"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113987789834027807310"">Residence Inn by Marriott Kingston Water’s Edge</a>'], 'photo_reference': 'Aap_uEC5mu9t-RT1AzahoPlngVqrEA5DWjyNoeUgCpfV6_B8QuyvomOnh6CFczy8Q6fe1FsK_QEOx3mlpPoCafAY_R8pfusWcbihW4Dj0KKdkerj2AYTua-SIsMIszSFSY3jyAJpldNuqQJ_yI5mr2_CK9MR0Ejt5aBBfvhgLkP88CQ12Xc_', 'width': 2048}]",ChIJc7z_kvuq0kwRgjiL2RE9SpI,"{'compound_code': '6GG9+J9 Kingston, Ontario', 'global_code': '87P56GG9+J9'}",4.4,ChIJc7z_kvuq0kwRgjiL2RE9SpI,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",872,"7 Earl St, Kingston",https://www.google.com/maps/?q=place_id:ChIJc7z_kvuq0kwRgjiL2RE9SpI
OPERATIONAL,"{'location': {'lat': 44.255114, 'lng': -76.57515699999999}, 'viewport': {'northeast': {'lat': 44.25677392989272, 'lng': -76.57383152010728}, 'southwest': {'lat': 44.25407427010727, 'lng': -76.57653117989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Rosewood Retirement Residence,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101744465963284157739"">A Google User</a>'], 'photo_reference': 'Aap_uEA3OIq4JvSf7OBxR2RUR87nYBwpGgPeVxXf4X9gDKxUzorGJz5P103LtJCpNOG5xB6fqKiQdpgExQp3YaHMwoC58aCOR7wpQQJ1IT9L34szkTTPrd26BpuPGiMLQm-GDTBmkmFaoBKjvitSSEBaV8UIot9ne4d6vnTmTdHHqdVDhDRw', 'width': 4608}]",ChIJWb3bUgjBVkARd3jMMJRF3q8,"{'compound_code': '7C4F+2W Kingston, Ontario', 'global_code': '87P57C4F+2W'}",4.0,ChIJWb3bUgjBVkARd3jMMJRF3q8,GOOGLE,"['health', 'point_of_interest', 'establishment']",16,"833 Sutton Mills Ct, Kingston",https://www.google.com/maps/?q=place_id:ChIJWb3bUgjBVkARd3jMMJRF3q8
OPERATIONAL,"{'location': {'lat': 44.2222333, 'lng': -76.642085}, 'viewport': {'northeast': {'lat': 44.22375947989272, 'lng': -76.64014787010727}, 'southwest': {'lat': 44.22105982010728, 'lng': -76.64284752989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,The Windsor Retirement Residence,{'open_now': True},"[{'height': 535, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101742219007654797230"">A Google User</a>'], 'photo_reference': 'Aap_uEBTFcia8EQLSDBI8x6EuDnizYJj-h2WNXJklbLB7J_V6O_XU5V1RJTSzgKH4y-NZlswJnnsWKcgXnSRqaF3_-ubxVw46S1EMXBxGLywtf8tfi2QBwJj9CObU3SrXqhyqHThxswf5WWTP2BvTDRSlZYrGeBnQujr4IJtMEWR0GxGvvSB', 'width': 856}]",ChIJGflpGqay0kwRO23xc3aOmy8,"{'compound_code': '69C5+V5 Amherstview, Loyalist, ON', 'global_code': '87P569C5+V5'}",4.1,ChIJGflpGqay0kwRO23xc3aOmy8,GOOGLE,"['health', 'point_of_interest', 'establishment']",44,"24 Park Crescent, Amherstview",https://www.google.com/maps/?q=place_id:ChIJGflpGqay0kwRO23xc3aOmy8
OPERATIONAL,"{'location': {'lat': 44.2563363, 'lng': -76.57217100000001}, 'viewport': {'northeast': {'lat': 44.25778292989273, 'lng': -76.57135397010727}, 'southwest': {'lat': 44.25508327010728, 'lng': -76.57405362989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cataraqui Heights Retirement Residence - Presentation Centre,{'open_now': False},"[{'height': 526, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117504602189366506752"">A Google User</a>'], 'photo_reference': 'Aap_uECHAPO-Twj8AvP70460_EZtr-NBQEMMAqsYgKiBL-o0uIvxokRY_9_X1J3IkCopT6luUOMxj5VZs0BzaMfC-y4uliHqmHOLX-fhNXFtF2Ye_mHfW0iILk7ACS5UxFOfPzG7KXPwmM0hHkctkC7ADMfvr4AScJe3oL8rfgbGTSwJfi_d', 'width': 1058}]",ChIJr_7xQiit0kwRiyz1AD_wlOU,"{'compound_code': '7C4H+G4 Kingston, Ontario', 'global_code': '87P57C4H+G4'}",4.8,ChIJr_7xQiit0kwRiyz1AD_wlOU,GOOGLE,"['health', 'point_of_interest', 'establishment']",5,"945 Gardiners Rd, Kingston",https://www.google.com/maps/?q=place_id:ChIJr_7xQiit0kwRiyz1AD_wlOU
OPERATIONAL,"{'location': {'lat': 44.2575814, 'lng': -76.5661722}, 'viewport': {'northeast': {'lat': 44.25901042989272, 'lng': -76.56492287010728}, 'southwest': {'lat': 44.25631077010728, 'lng': -76.56762252989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Royale Place Retirement Residence,{'open_now': True},"[{'height': 2507, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117459081166145585738"">A Google User</a>'], 'photo_reference': 'Aap_uEDfhzbUi-pcbya7p_Q52Ngi5LyA8hRCVspphwFJzmMc4577kzkGKDM1fde8sHMgH8M3bCxjTdtLFcKoJsete0qQ1ui8w_lK2F0R8DEYVGDcW59gzNlYLmVzf2goCrNGxQjrENg7LMJPrqOBDWx6OG4vOgu20rPGSPBSpN5mr0m_PyFz', 'width': 4608}]",ChIJwStA_Uus0kwRv-6a40TzXeM,"{'compound_code': '7C5M+2G Kingston, Ontario', 'global_code': '87P57C5M+2G'}",4.1,ChIJwStA_Uus0kwRv-6a40TzXeM,GOOGLE,"['health', 'point_of_interest', 'establishment']",17,"2485 Princess St, Kingston",https://www.google.com/maps/?q=place_id:ChIJwStA_Uus0kwRv-6a40TzXeM
OPERATIONAL,"{'location': {'lat': 44.26898449999999, 'lng': -76.5581651}, 'viewport': {'northeast': {'lat': 44.27033432989271, 'lng': -76.55681527010728}, 'southwest': {'lat': 44.26763467010726, 'lng': -76.55951492989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Waterford Kingston Retirement Residence,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115628131162114419968"">Waterford Retirement Residence Kingston</a>'], 'photo_reference': 'Aap_uECfSNjCyjehUqqt3E4yZS48yPff4mI7it8IEcvEfqYPWVghlEnuLVwgf7Bd28g9nsooU8ToVQS0PT19sLgotMj0CUa9WCP35kMaOPBsCxAEfa2v4QGsB1pQY6YUHA2fvcMrTL-oatbNprjt-Qv0effqnjjypOR_zgqRihk0HtgdLAb3', 'width': 2048}]",ChIJcYV4BC6s0kwRlxX-1LIEOmo,"{'compound_code': '7C9R+HP Kingston, Ontario', 'global_code': '87P57C9R+HP'}",3.8,ChIJcYV4BC6s0kwRlxX-1LIEOmo,GOOGLE,"['health', 'point_of_interest', 'establishment']",20,"471 Cataraqui Woods Dr, Kingston",https://www.google.com/maps/?q=place_id:ChIJcYV4BC6s0kwRlxX-1LIEOmo
OPERATIONAL,"{'location': {'lat': 44.2235559, 'lng': -76.500159}, 'viewport': {'northeast': {'lat': 44.22492042989272, 'lng': -76.49851972010727}, 'southwest': {'lat': 44.22222077010728, 'lng': -76.50121937989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Brant House,{'open_now': True},"[{'height': 607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110196880735789362014"">Sydney Hodgson</a>'], 'photo_reference': 'Aap_uECnRPJTFotuNu8TsSIg0rFHDw4lpa0n7hlvRHocIljuzmvr04S1YaeOGI4nxqNE8zI1TFvHdp1tZOUkhmZ15prww0OBjFqXJegabvNt9mMcUXaknLonfE-051ihvgKdBEgkU169360jH8Qo9OGq8xdmAGf8LnntDWOhKQhaFvFM-KqQ', 'width': 1024}]",ChIJb45E8Bqr0kwRhBS8Uc_SoF4,"{'compound_code': '6FFX+CW Kingston, Ontario', 'global_code': '87P56FFX+CW'}",4.5,ChIJb45E8Bqr0kwRhBS8Uc_SoF4,GOOGLE,"['point_of_interest', 'establishment']",23,"28 Albert St, Kingston",https://www.google.com/maps/?q=place_id:ChIJb45E8Bqr0kwRhBS8Uc_SoF4
OPERATIONAL,"{'location': {'lat': 44.2284629, 'lng': -76.48108450000001}, 'viewport': {'northeast': {'lat': 44.22987342989273, 'lng': -76.47985802010729}, 'southwest': {'lat': 44.22717377010728, 'lng': -76.48255767989274}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Revera St. Lawrence Place,{'open_now': True},"[{'height': 607, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118269696937673742507"">St. Lawrence Place Retirement Residence</a>'], 'photo_reference': 'Aap_uEAzMbtOVxHgWXhZy0ubwYlrZr6PiweyzngKkyTKu0T9dK81nVWRre48yKhghNDk0nSC8x00iFRUoVFFzhNx70b44msXS1rFEUYJxhYkAvrigyU02emEKWJu45MP1rj42O4R9UqHLSALLxxiFwsJHnHttXfF28I2dFnyH82-5Q6bpr68', 'width': 1080}]",ChIJhdJ4Tvmq0kwRx27qPqq00sE,"{'compound_code': '6GH9+9H Kingston, Ontario', 'global_code': '87P56GH9+9H'}",4.5,ChIJhdJ4Tvmq0kwRx27qPqq00sE,GOOGLE,"['health', 'point_of_interest', 'establishment']",2,"181 Ontario St, Kingston",https://www.google.com/maps/?q=place_id:ChIJhdJ4Tvmq0kwRx27qPqq00sE
