business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,url
OPERATIONAL,"{'location': {'lat': 44.2322649, 'lng': -76.4800767}, 'viewport': {'northeast': {'lat': 44.23374112989272, 'lng': -76.47864787010728}, 'southwest': {'lat': 44.23104147010728, 'lng': -76.48134752989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Your Workplace,{'open_now': False},"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113075190834921881919"">A Google User</a>'], 'photo_reference': 'Aap_uEBATWNLS1KFIDwow6tiOudX96WEAvN0EHA6dfzLlS8t150M1J8ZVGfPtNYQ1Izjhx3wxrqFTvEhCrpEBOML0iS6IiH6Eb-F5ZlBiWjQbbMEghN4-Xm2rT6U7HhKOoWboHlgAv8ITABFfFdBLaFLpZRgd4njc9ntPL960A7_iu7yybB8', 'width': 960}]",ChIJNfdnVP-q0kwRA-ElFYrt-l4,"{'compound_code': '6GJ9+WX Kingston, Ontario', 'global_code': '87P56GJ9+WX'}",5.0,ChIJNfdnVP-q0kwRA-ElFYrt-l4,GOOGLE,"['point_of_interest', 'establishment']",2,"23 Queen St, Kingston",https://www.google.com/maps/?q=place_id:ChIJNfdnVP-q0kwRA-ElFYrt-l4
OPERATIONAL,"{'location': {'lat': 44.2626356, 'lng': -76.52270469999999}, 'viewport': {'northeast': {'lat': 44.26433892989272, 'lng': -76.52091462010728}, 'southwest': {'lat': 44.26163927010727, 'lng': -76.52361427989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Safety Guys Workplace Safety Trainers,{'open_now': False},"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108035142792649737124"">A Google User</a>'], 'photo_reference': 'Aap_uEBAvej9kE9l1COg3hx3ufisWOKm5-0YpupY4VYpfTX2w0r3aVH38gKsK_gIWmsyLG6q9JjdicBOATIiTVdFmBS_w3FFrUcGL7I-jWJu1HtJAByTIJsqKIF4VrEk7nXFFjchDB7CXD2KgACrmUSaXuIiqUowyA7W95AsFOkhS1WB8Yip', 'width': 1920}]",ChIJ_6latAms0kwRA9PiTo7bQ_w,"{'compound_code': '7F7G+3W Kingston, Ontario', 'global_code': '87P57F7G+3W'}",4.6,ChIJ_6latAms0kwRA9PiTo7bQ_w,GOOGLE,"['point_of_interest', 'establishment']",30,"24 Steve Fonyo Dr Unit 200-1, Kingston",https://www.google.com/maps/?q=place_id:ChIJ_6latAms0kwRA9PiTo7bQ_w
OPERATIONAL,"{'location': {'lat': 44.2336323, 'lng': -76.4882174}, 'viewport': {'northeast': {'lat': 44.23498232989272, 'lng': -76.48686917010727}, 'southwest': {'lat': 44.23228267010728, 'lng': -76.48956882989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Work Wellness,,,ChIJ3600eFE0K4gReHRbWwaFPFQ,"{'compound_code': '6GM6+FP Kingston, Ontario', 'global_code': '87P56GM6+FP'}",0.0,ChIJ3600eFE0K4gReHRbWwaFPFQ,GOOGLE,"['point_of_interest', 'establishment']",0,"221 Queen St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ3600eFE0K4gReHRbWwaFPFQ
OPERATIONAL,"{'location': {'lat': 44.22269300000001, 'lng': -76.511422}, 'viewport': {'northeast': {'lat': 44.22405217989272, 'lng': -76.50990202010728}, 'southwest': {'lat': 44.22135252010728, 'lng': -76.51260167989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"John Curtis, Workplace Mediation & Investigation",{'open_now': False},,ChIJ7dwFmw2r0kwRAu0iWa65xic,"{'compound_code': '6FFQ+3C Kingston, Ontario', 'global_code': '87P56FFQ+3C'}",0.0,ChIJ7dwFmw2r0kwRAu0iWa65xic,GOOGLE,"['point_of_interest', 'establishment']",0,"44 Alwington Ave, Kingston",https://www.google.com/maps/?q=place_id:ChIJ7dwFmw2r0kwRAu0iWa65xic
OPERATIONAL,"{'location': {'lat': 44.233538, 'lng': -76.4885461}, 'viewport': {'northeast': {'lat': 44.23482982989272, 'lng': -76.48721352010728}, 'southwest': {'lat': 44.23213017010728, 'lng': -76.48991317989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sanctuary Coworking,{'open_now': False},"[{'height': 1334, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112089280026857352360"">The Sanctuary</a>'], 'photo_reference': 'Aap_uECjDbKs9nWzZdG089LJqGTuO4CSJeF5HJZjDeENxN9HiKrTMrLf-SK5Vu-SRkSXeRe3vhW8__xgUz0hpflb8KyiTStZ1IOO7616Z2zaSoJkYlUpBAPR5HGWFm8oNX0521CqqubKpcHMc1grqnrfhxqsBHowChPz3CxGjE2p_xEARJrU', 'width': 2000}]",ChIJp4HHgaqr0kwRjlBbkAq30pA,"{'compound_code': '6GM6+CH Kingston, Ontario', 'global_code': '87P56GM6+CH'}",4.7,ChIJp4HHgaqr0kwRjlBbkAq30pA,GOOGLE,"['point_of_interest', 'establishment']",36,"221 Queen St, Kingston",https://www.google.com/maps/?q=place_id:ChIJp4HHgaqr0kwRjlBbkAq30pA
OPERATIONAL,"{'location': {'lat': 44.230409, 'lng': -76.49288700000001}, 'viewport': {'northeast': {'lat': 44.23175867989271, 'lng': -76.49161567010728}, 'southwest': {'lat': 44.22905902010727, 'lng': -76.49431532989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Run Clean,,,ChIJW3loNQGr0kwRv7GzOmEJnls,"{'compound_code': '6GJ4+5R Kingston, Ontario', 'global_code': '87P56GJ4+5R'}",0.0,ChIJW3loNQGr0kwRv7GzOmEJnls,GOOGLE,"['point_of_interest', 'establishment']",0,"87 Division St, Kingston",https://www.google.com/maps/?q=place_id:ChIJW3loNQGr0kwRv7GzOmEJnls
OPERATIONAL,"{'location': {'lat': 44.24125670000001, 'lng': -76.4886245}, 'viewport': {'northeast': {'lat': 44.24267712989273, 'lng': -76.48725462010728}, 'southwest': {'lat': 44.23997747010728, 'lng': -76.48995427989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/civic-bldg_pinlet,Ontario Works Social Svc,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109629686061459246298"">A Google User</a>'], 'photo_reference': 'Aap_uEBGAqVzigwgA6CyxebaH1FzhzY3UuHvgeQQtAY_3tf916SD7qtIftKBWGUQt4c6Yv3i1d9QyVBZfvScJUjEtJc7oKkVOY7_w4e-QxoYqHbxBiXcZDVhLeXfV2iCJ150UT8nEHh5CUEF75UJzGrfYl4qkGYuSLjn6z1u5l__0yjnzWA3', 'width': 3024}]",ChIJ_wTDdK6r0kwRhA8E8jMtY0Q,"{'compound_code': '6GR6+GH Kingston, Ontario', 'global_code': '87P56GR6+GH'}",2.9,ChIJ_wTDdK6r0kwRhA8E8jMtY0Q,GOOGLE,"['local_government_office', 'point_of_interest', 'establishment']",10,"362 Montreal St, Kingston",https://www.google.com/maps/?q=place_id:ChIJ_wTDdK6r0kwRhA8E8jMtY0Q
OPERATIONAL,"{'location': {'lat': 44.2419999, 'lng': -76.48143010000001}, 'viewport': {'northeast': {'lat': 44.24325212989272, 'lng': -76.48005667010727}, 'southwest': {'lat': 44.24055247010727, 'lng': -76.48275632989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Benefits by Design (BBD) Inc.,{'open_now': False},"[{'height': 440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118160435164923886413"">Benefits By Design</a>'], 'photo_reference': 'Aap_uED8IJzi0rQwjNr8PREMsC0dkyjNLvLK0VzUan-PSNsPRCQgCLN3LNbJoW7sD4X0w4lYydMrnxZzcZpexXzGbl0_YX43DfixrRFvZTJf0RAohz-SARC5-kL1MFInlUn02YjItPL5RnYj1IwvgFo9mJuxZ_1P6lmD0-Bo3aRLWjr2yjqk', 'width': 880}]",ChIJP9Q8llskVUARlTPqkni8eQk,"{'compound_code': '6GR9+QC Kingston, Ontario', 'global_code': '87P56GR9+QC'}",5.0,ChIJP9Q8llskVUARlTPqkni8eQk,GOOGLE,"['insurance_agency', 'health', 'point_of_interest', 'establishment']",3,"6 Cataraqui St #107, Kingston",https://www.google.com/maps/?q=place_id:ChIJP9Q8llskVUARlTPqkni8eQk
OPERATIONAL,"{'location': {'lat': 44.2315917, 'lng': -76.4790782}, 'viewport': {'northeast': {'lat': 44.23294152989271, 'lng': -76.47772837010729}, 'southwest': {'lat': 44.23024187010727, 'lng': -76.48042802989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/school_pinlet,Queen's University - IRC,{'open_now': False},,ChIJc4eeqwWr0kwRPC5B9c-OncA,"{'compound_code': '6GJC+J9 Kingston, Ontario', 'global_code': '87P56GJC+J9'}",5.0,ChIJc4eeqwWr0kwRPC5B9c-OncA,GOOGLE,"['point_of_interest', 'establishment']",1,"275 Ontario St 3rd Floor, Kingston",https://www.google.com/maps/?q=place_id:ChIJc4eeqwWr0kwRPC5B9c-OncA
OPERATIONAL,"{'location': {'lat': 44.2459947, 'lng': -76.4952985}, 'viewport': {'northeast': {'lat': 44.24734452989272, 'lng': -76.49394867010727}, 'southwest': {'lat': 44.24464487010728, 'lng': -76.49664832989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Chartreuse Flower Works,{'open_now': False},"[{'height': 2620, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108439977244396933587"">Nathan Jousmaki</a>'], 'photo_reference': 'Aap_uEAWmUASchizr4e794CCsvdoIgjgVt8nQTHl51Wy5JjMA1NVlO2zPryAJv43n_OryvdumRV4pxlOSANdIGBv2pcC5B0_-c-D-lZOps1GZ_uEfzpFkkb1y6QoxdNsblvV4WTYkPTmfd_oqIHLkvwmGtD_ry7Zp-zGA3kKXoOqEeVnhEb-', 'width': 4656}]",ChIJG_vup7ur0kwRlnYl0qp6SdY,"{'compound_code': '6GW3+9V Kingston, Ontario', 'global_code': '87P56GW3+9V'}",4.9,ChIJG_vup7ur0kwRlnYl0qp6SdY,GOOGLE,"['florist', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",127,"577 Division St, Kingston",https://www.google.com/maps/?q=place_id:ChIJG_vup7ur0kwRlnYl0qp6SdY
